Date,Open,High,Low,Close,Adj Close,Volume
2019-07-08,43.590000,43.959999,43.290001,43.490002,42.180561,7060200
2019-07-09,43.080002,43.869999,43.020000,43.779999,42.461830,5941900
2019-07-10,43.759998,43.980000,43.240002,43.310001,42.005978,5311000
2019-07-11,43.490002,44.330002,43.380001,44.180000,42.849785,8799200
2019-07-12,44.549999,44.900002,44.380001,44.869999,43.519009,9565700
2019-07-15,45.009998,45.009998,44.290001,44.430000,43.092258,7870700
2019-07-16,44.799999,45.060001,44.270000,44.430000,43.092258,10170900
2019-07-17,44.259998,44.320000,43.660000,43.770000,42.452129,9131800
2019-07-18,43.669998,44.520000,43.509998,44.430000,43.092258,11187500
2019-07-19,44.349998,44.709999,44.330002,44.389999,43.053463,10083600
2019-07-22,44.220001,44.599998,43.939999,44.500000,43.160149,7091800
2019-07-23,44.770000,45.290001,44.770000,45.099998,43.742085,9859600
2019-07-24,44.889999,45.709999,44.860001,45.500000,44.130043,8092200
2019-07-25,45.500000,45.570000,44.599998,44.869999,43.519009,8733800
2019-07-26,44.990002,45.770000,44.910000,45.740002,44.362816,8321000
2019-07-29,45.639999,45.730000,45.070000,45.230000,43.868172,8667000
2019-07-30,44.610001,44.849998,44.169998,44.669998,43.662907,7339100
2019-07-31,44.700001,44.990002,44.279999,44.560001,43.555386,8317100
2019-08-01,44.419998,44.740002,42.689999,42.930000,41.962135,12963900
2019-08-02,42.730000,42.750000,41.240002,42.119999,41.170395,16089900
2019-08-05,40.930000,41.000000,39.939999,40.490002,39.577145,15311100
2019-08-06,40.950001,41.330002,40.470001,41.220001,40.290688,10481200
2019-08-07,40.270000,40.660000,39.470001,40.560001,39.645569,14108500
2019-08-08,41.009998,41.459999,40.639999,41.270000,40.339558,9884400
2019-08-09,40.990002,41.820000,40.650002,41.500000,40.564373,11011400
2019-08-12,40.770000,40.900002,40.160000,40.360001,39.450077,8775000
2019-08-13,40.389999,41.330002,40.080002,40.689999,39.772636,10896700
2019-08-14,39.570000,39.570000,38.840000,39.330002,38.443298,17133400
2019-08-15,39.430000,39.590000,38.759998,39.099998,38.218479,10818600
2019-08-16,39.529999,40.189999,39.419998,39.939999,39.039539,9742800
2019-08-19,40.740002,40.830002,40.230000,40.369999,39.459846,7803000
2019-08-20,40.040001,40.290001,39.830002,39.900002,39.000446,11350000
2019-08-21,40.480000,40.529999,39.830002,39.939999,39.039539,9876100
2019-08-22,40.360001,40.419998,39.919998,40.270000,39.362103,8126000
2019-08-23,40.049999,40.400002,39.110001,39.330002,38.443298,12310800
2019-08-26,39.840000,40.270000,39.700001,40.160000,39.254585,10408600
2019-08-27,40.250000,40.340000,39.450001,39.790001,38.892925,8742900
2019-08-28,39.400002,40.700001,39.349998,40.380001,39.469624,9881900
2019-08-29,40.889999,41.500000,40.869999,41.290001,40.359108,12191900
2019-08-30,41.680000,41.869999,41.299999,41.490002,40.554600,7427000
2019-09-03,41.040001,41.090000,40.349998,40.990002,40.065872,8675300
2019-09-04,41.439999,41.689999,41.299999,41.529999,40.593697,6829900
2019-09-05,42.299999,43.110001,42.299999,42.470001,41.512505,8101600
2019-09-06,42.470001,42.549999,42.009998,42.180000,41.229042,7012700
2019-09-09,42.540001,43.490002,42.540001,43.110001,42.138077,11888800
2019-09-10,43.279999,43.810001,43.060001,43.580002,42.597481,12292700
2019-09-11,43.740002,43.939999,43.209999,43.939999,42.949364,9877900
2019-09-12,43.509998,44.439999,43.380001,44.320000,43.320797,13254300
2019-09-13,44.950001,45.450001,44.730000,45.160000,44.141857,11364500
2019-09-16,44.490002,45.049999,44.349998,44.750000,43.741100,6289800
2019-09-17,44.500000,44.500000,43.549999,44.209999,43.213272,9768500
2019-09-18,43.910000,44.490002,43.650002,44.360001,43.359898,8283800
2019-09-19,44.209999,44.470001,43.910000,44.020000,43.027561,6403500
2019-09-20,44.220001,44.599998,43.630001,43.669998,42.685448,22404600
2019-09-23,43.270000,43.779999,42.939999,43.560001,42.577930,7114600
2019-09-24,43.770000,43.770000,42.369999,42.540001,41.580925,11246400
2019-09-25,42.349998,43.160000,42.349998,43.040001,42.069656,6909400
2019-09-26,42.959999,43.009998,42.580002,42.619999,41.659122,5343800
